Directors Score,Total Revenue,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Company Age (Months),Sector_Risk,outcome,company_name
91.08,22177.0,0,0.0,0.013,50.0,0.33752812765305523,0.225920271204055,441.03153846153845,0.6923076923076923,9,78.0,0,0,Deli Ice Limited
58.22,103698.0,0,0.0,-0.04,16.58,0.49827894650892,-0.2189682614347965,-416.41000000000156,9.307692307692308,0,25.0,0,0,Deluxe Lounge
87.2,19033.0,0,0.0,-0.035,24.09,0.5878182000049471,-0.24212580006683282,632.7714285714288,9.0,0,12.0,0,0,Diva Hair Studio Ltd
71.97,104616.0,0,0.0,0.11,2.98,0.26497879015601705,0.019940965812351587,2955.6807692307493,4.230769230769231,0,139.0,0,0,Dlc Lighting Ltd
89.9,15502.0,0,0.0,-0.338,21.37,0.7463855613488415,1.264574035185409,844.2933333333337,2.4444444444444446,0,13.0,0,0,Dottie Dances Ltd
92.65,47741.0,0,0.0,-0.819,1.61,0.4294793875800989,0.9437070184442684,27538.760000000002,0.0,0,131.0,0,0,Drillskillz Consults Limited
76.53,4579.0,0,0.0,-0.798,50.0,0.774927046147385,-0.8731931239984465,2151.8449999999993,2.0,0,28.0,0,0,Dts Materials Ltd
75.64,90235.0,0,0.0,-0.062,50.0,0.4251294754856135,0.4680306629902261,921.4023076923075,4.3076923076923075,0,102.0,0,0,Due Auto Motive Ltd
69.48,51032.0,0,0.0,0.12,13.15,1.0611832974438642,8.501958954489256,1103.627142857143,2.7142857142857144,0,13.0,0,0,Dybo Travel Limited
72.86,29214.0,0,0.0,0.097,5.04,0.6202332499725323,-0.6346953906572713,1751.793750000001,1.25,0,30.0,0,0,Elar One Ltd
69.4,85919.0,0,0.0,-0.032,50.0,0.6622939614274972,1.9943676405525026,-444.2307692307696,13.153846153846153,0,26.0,0,0,Ellevate Limited
92.64,61465.0,0,0.0,-0.9,12.66,0.9344681019709972,0.7609477910971891,6066.451428571422,0.0,0,23.0,0,0,Elm Pub Group Ltd Ta As The Bull Inn
85.23,2132.0,0,0.0,-1.0,8.0,0.9791507733924939,-0.9894655693301385,327.6699999999999,1.0,0,181.0,0,0,Elpromotions Limited
88.02,207714.0,0,0.0,0.177,5.37,0.36611585810224506,-0.1460532001566953,-91.91615384615608,18.46153846153846,0,86.0,0,0,Els Management Ltd
76.71,1156.0,0,0.0,-1.0,4.93,0.5,0.0,2401.7200000000007,0.0,0,59.0,0,1,Elsco Private Limited
90.31,296177.0,0,0.0,0.014,19.51,0.5184252150659817,0.23987486226549573,2374.742307692309,0.0,4,20.0,0,0,Emp Motors Ltd
75.94,26807.0,0,0.0,0.041,50.0,0.828109685279256,-0.2619433561417064,797.726363636364,0.0,0,37.0,0,0,Erfan Carpet
81.87,93152.0,0,0.0,0.034,17.63,0.6959872041069576,-0.026856834051067327,989.4576923076943,5.846153846153846,0,29.0,0,0,Faith & Love Nursery Ltd
88.61,81300.0,0,0.0,0.047,21.72,0.8055819863060738,2.863390698667081,1225.8099999999974,0.6923076923076923,0,16.0,0,0,Farm To Fridge Ltd
