json_file,outcome_label,in_paid_upload,in_not_paid_upload
Els Management Ltd(1).json,unlabelled,False,False
Gas Records(1).json,unlabelled,False,False
Platform 10 Ltd(1).json,unlabelled,False,False
Recognised London Limited(1).json,unlabelled,False,False
The Gangway Sheringham Limited(1).json,unlabelled,False,False
TradeDesk Team Ltd(1).json,unlabelled,False,False
We Design it Ltd(1).json,unlabelled,False,False
We Style Any Dog Limited(1).json,unlabelled,False,False
Weird Inc Ltd (1).json,unlabelled,False,False
White Canvas Bridal Ltd Transactions(1).json,unlabelled,False,False
Smiths Trades Limited(1).json,unlabelled,False,False
Something a bit different Ltd(1).json,unlabelled,False,False
Staplehurst Coffee Ltd (1).json,unlabelled,False,False
Starks Flooring Ltd Transaction Report(1).json,unlabelled,False,False
T & L Hurley Ltd(1).json,unlabelled,False,False
TECHARA_LIMITED(1).json,unlabelled,False,False
The Gluten Free World Ltd(1).json,unlabelled,False,False
Richer Education(1).json,unlabelled,False,False
rothwell local store ltd(1).json,unlabelled,False,False
Scrandiggity LTD(1).json,unlabelled,False,False
Sercasa Ltd(1).json,unlabelled,False,False
Shakespeares Shepherd Huts Ltd(1).json,unlabelled,False,False
silk route import & export ltd(1).json,unlabelled,False,False
Smart Alloys South West Limited(1).json,unlabelled,False,False
Noble Executive Limited(1).json,unlabelled,False,False
Palmcoco Ltd Transaction Report(1).json,unlabelled,False,False
Phone Expert Services Ltd(1).json,unlabelled,False,False
Phone Expert Services_categorized(1).json,unlabelled,False,False
PJ PHOTOGRAPHY LIVERPOOL LIMITED(1).json,unlabelled,False,False
Post Production Sorted Ltd(1).json,unlabelled,False,False
Radcat Limited Transaction Report(1).json,unlabelled,False,False
London Recruiting(1).json,unlabelled,False,False
Maj Trade Ltd(1).json,unlabelled,False,False
Manzil Property Management(1).json,unlabelled,False,False
Mh Home Renovations Ltd(1).json,unlabelled,False,False
Milton Fire Safety(1).json,unlabelled,False,False
Mitz Traders Ltd Transaction Report(1).json,unlabelled,False,False
Moviescape Ltd(1).json,unlabelled,False,False
Hemming Logistics Ltd(1).json,unlabelled,False,False
Kam marketing Group Limited(1).json,unlabelled,False,False
Ketco Direct Limited(1).json,unlabelled,False,False
Kids Tech Company Ltd(1).json,unlabelled,False,False
Kimbo and Sons Ltd Transaction Report(1).json,unlabelled,False,False
Krafty Designs 4 You Limited(1).json,unlabelled,False,False
Kurkland Ltd(1).json,unlabelled,False,False
FS Fashionista Ltd(1).json,unlabelled,False,False
Future Analytics Ltd(1).json,unlabelled,False,False
GC Bike Repairs Ltd 4(1).json,unlabelled,False,False
Get Outside Events Limited(1).json,unlabelled,False,False
GreenSec Limited(1).json,unlabelled,False,False
Happy Travel Limited_categorized(1).json,unlabelled,False,False
Hashmis and Bukharis Ltd(1).json,unlabelled,False,False
CoreERP Solutions(1).json,unlabelled,False,False
D&C Couriers Limited(1).json,paid,True,False
D&C Couriers Orginal Bank acc(1).json,unlabelled,False,False
Deluxe Lounge(1).json,unlabelled,False,False
Els Management Ltd_categorized(1).json,unlabelled,False,False
Four Paws Walking and Training Ltd(1).json,unlabelled,False,False
22Lush Limited Transaction Report(1).json,unlabelled,False,False
AS Cladding and Roofing Ltd(1).json,unlabelled,False,False
Brookhouse Hypnotherapy Ltd(1).json,unlabelled,False,False
THE_THIRSTY_TURTLE_LIMITED(1).json,unlabelled,False,False
Vagemanfish Ltd(1).json,unlabelled,False,False
XTC Clothing(1).json,unlabelled,False,False
Porkies Ltd(1).json,unlabelled,False,False
Ratz Vintage Clothing Ltd(1).json,unlabelled,False,False
Regulatory Consultantcy Services Ltd (1).json,unlabelled,False,False
Retail 24 Ltd(1).json,unlabelled,False,False
STUDIO_444_BY_EXEC_CONNECTIVE_LIMITED(1).json,unlabelled,False,False
Furfamilyfair Ltd(1).json,unlabelled,False,False
Fylde Conservation Ltd(1).json,unlabelled,False,False
Good Geezers Welling Ltd Transaction Limited(1).json,unlabelled,False,False
