pdf_file,matched_company,match_score,match_strategy,business_ccj,text_backend,error
ARTHURS_IT_SERVICES_LIMITED-capital_report-2024-03-06.pdf,ARTHUR'S IT SERVICES LIMITED,80.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
AS_CLADDING_AND_ROOFING_LTD-capital_report-2024-06-27.pdf,+234,66.66666666666667,partial_ratio_duplicate_lower_confidence,False,none,Matched company already has a higher-confidence PDF; not applied
AS_YOU_LIKE_IT_BUILDING_SERVICES_LTD-capital_report-2024-03-15.pdf,As You Like It Building Services LTD,83.33333333333334,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
ASHBY_STREET_MOTORS_LTD-capital_report-2024-11-13.pdf,Ashby street motors ltd,86.95652173913044,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
ASPECT_PROJECTS_LTD-capital_report-2024-04-03.pdf,Aspect Projects,93.33333333333333,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
ASTRA_POWER_GENERATION_LIMITED-capital_report-2024-06-27.pdf,Astra Power Generation Limited,84.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
AYA__PARTNERS_LTD-capital_report-2024-02-28.pdf,AYA & Partners,81.4814814814815,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BAIG_HALAL_BUTCHERS_LTD-capital_report-2025-04-23(1).pdf,Baig halal butcher ltd,81.81818181818181,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BAIG_HALAL_BUTCHERS_LTD-capital_report-2025-04-23.pdf,Baig halal butcher ltd,81.81818181818181,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BARRYS_FOOD_STORES_LTD-capital_report-2024-05-29.pdf,BARRY'S FOOD STORES LTD,84.44444444444444,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
