plaid_detailed,subcategory,count
loan_payments_credit_card_payment,Special Inflow,22
income_wages,Debt Repayments,21
other,Debt Repayments,21
general_services_consulting_and_legal,Special Inflow,21
general_services_automotive,Debt Repayments,21
general_services_education,Special Inflow,20
loan_payments_personal_loan_payment,Special Inflow,20
food_and_drink_fast_food,Special Inflow,20
medical_dental_care,Transfer Out,20
home_improvement_repair_and_maintenance,Debt Repayments,20
general_merchandise_electronics,Debt Repayments,20
general_services_storage,Special Inflow,19
medical_primary_care,Special Inflow,18
travel_flights,Special Inflow,18
rent_and_utilities_other_utilities,Special Inflow,18
general_merchandise_gifts_and_novelties,Debt Repayments,18
general_services_education,Transfer Out,18
general_merchandise_sporting_goods,Special Inflow,17
food_and_drink_groceries,Transfer Out,17
entertainment_music_and_audio,Special Inflow,16
general_merchandise_department_stores,Transfer Out,16
government_and_non_profit_tax_payment,Transfer Out,16
medical_other_medical,Debt Repayments,15
food_and_drink_other_food_and_drink,Transfer Out,15
food_and_drink_coffee,Special Inflow,15
loan_payments_other_payment,Failed Payment,15
general_merchandise_clothing_and_accessories,Transfer Out,13
transfer_in_deposit,Failed Payment,13
rent_and_utilities_water,Special Inflow,12
food_and_drink_coffee,Debt Repayments,12
government_and_non_profit_donations,Transfer Out,12
personal_care_hair_and_beauty,Transfer Out,12
personal_care_laundry_and_dry_cleaning,Debt Repayments,12
general_merchandise_convenience_stores,Failed Payment,12
personal_care_hair_and_beauty,Income,11
loan_payments_credit_card_payment,Failed Payment,11
food_and_drink_beer_wine_and_liquor,Special Inflow,11
home_improvement_other_home_improvement,Debt Repayments,11
food_and_drink_vending_machines,Special Inflow,10
general_merchandise_clothing_and_accessories,Loans,10
transportation_other_transportation,Special Inflow,10
loan_payments_credit_card_payment,Transfer In,10
general_merchandise_gifts_and_novelties,Transfer Out,10
medical_pharmacies_and_supplements,Special Inflow,9
income_wages,Transfer In,9
rent_and_utilities_water,Debt Repayments,9
general_services_consulting_and_legal,Transfer Out,9
general_services_other_general_services,Failed Payment,9
general_merchandise_other_general_merchandise,Failed Payment,9
home_improvement_other_home_improvement,Special Inflow,8
income_retirement_pension,Income,8
general_services_insurance,Transfer Out,8
income_tax_refund,Failed Payment,8
home_improvement_security,Special Inflow,8
income_interest_earned,Debt Repayments,8
general_services_insurance,Funding Inflow,8
general_merchandise_bookstores_and_newsstands,Special Inflow,7
transportation_tolls,Special Inflow,7
transfer_in_cash_advances_and_loans,Failed Payment,7
loan_payments_personal_loan_payment,Loans,7
entertainment_tv_and_movies,Debt Repayments,7
travel_other_travel,Transfer Out,7
general_merchandise_clothing_and_accessories,Income,6
entertainment_casinos_and_gambling,Debt Repayments,6
medical_eye_care,Special Inflow,6
general_services_postage_and_shipping,Failed Payment,6
rent_and_utilities_telephone,Failed Payment,6
government_and_non_profit_tax_payment,Special Inflow,6
food_and_drink_beer_wine_and_liquor,Debt Repayments,6
food_and_drink_other_food_and_drink,Loans,6
general_merchandise_tobacco_and_vape,Special Inflow,5
general_services_automotive,Failed Payment,5
food_and_drink_restaurant,Loans,5
other,Special Inflow,5
bank_fees_overdraft_fees,Special Inflow,5
general_merchandise_other_general_merchandise,Transfer Out,5
personal_care_other_personal_care,Debt Repayments,5
home_improvement_furniture,Debt Repayments,5
general_merchandise_clothing_and_accessories,Failed Payment,5
travel_rental_cars,Debt Repayments,5
general_services_automotive,Transfer Out,4
food_and_drink_groceries,Income,4
transportation_public_transit,Debt Repayments,4
other,Bank Charge,4
rent_and_utilities_internet_and_cable,Special Inflow,4
general_services_accounting_and_financial_planning,Loans,4
home_improvement_furniture,Transfer Out,4
transfer_in_deposit,Special Inflow,4
general_merchandise_pet_supplies,Debt Repayments,4
transfer_in_cash_advances_and_loans,Transfer In,4
home_improvement_repair_and_maintenance,Special Inflow,4
medical_pharmacies_and_supplements,Transfer Out,4
entertainment_tv_and_movies,Failed Payment,4
loan_payments_credit_card_payment,Income,4
transportation_gas,Transfer Out,4
general_services_education,Debt Repayments,3
general_merchandise_office_supplies,Special Inflow,3
entertainment_sporting_events_amusement_parks_and_museums,Transfer Out,3
transportation_parking,Debt Repayments,3
general_services_insurance,Loans,3
personal_care_laundry_and_dry_cleaning,Special Inflow,3
rent_and_utilities_sewage_and_waste_management,Debt Repayments,3
general_merchandise_discount_stores,Special Inflow,3
food_and_drink_fast_food,Transfer Out,3
general_merchandise_online_marketplaces,Debt Repayments,2
home_improvement_hardware,Transfer Out,2
transfer_out_account_transfer,Special Inflow,2
home_improvement_hardware,Income,2
medical_pharmacies_and_supplements,Debt Repayments,2
other,Loans,2
other,Failed Payment,2
income_tax_refund,Loans,2
loan_payments_student_loan_payment,Debt Repayments,2
general_services_other_general_services,Loans,2
transportation_bikes_and_scooters,Special Inflow,2
home_improvement_hardware,Failed Payment,2
medical_dental_care,Debt Repayments,2
rent_and_utilities_rent,Special Inflow,2
income_wages,Funding Inflow,2
general_services_accounting_and_financial_planning,Income,2
rent_and_utilities_sewage_and_waste_management,Failed Payment,2
rent_and_utilities_internet_and_cable,Failed Payment,2
food_and_drink_restaurant,Failed Payment,2
food_and_drink_groceries,Loans,2
medical_nursing_care,Expenses,2
home_improvement_repair_and_maintenance,Transfer Out,2
rent_and_utilities_internet_and_cable,Debt Repayments,2
food_and_drink_vending_machines,Debt Repayments,2
rent_and_utilities_water,Failed Payment,2
rent_and_utilities_rent,Failed Payment,2
general_merchandise_electronics,Failed Payment,2
government_and_non_profit_government_departments_and_agencies,Transfer Out,2
general_merchandise_bookstores_and_newsstands,Transfer Out,2
rent_and_utilities_gas_and_electricity,Transfer Out,2
government_and_non_profit_government_departments_and_agencies,Income,1
income_tax_refund,Debt Repayments,1
general_services_postage_and_shipping,Income,1
transportation_taxis_and_ride_shares,Debt Repayments,1
bank_fees_other_bank_fees,Transfer Out,1
transfer_out_savings,Failed Payment,1
transportation_bikes_and_scooters,Debt Repayments,1
rent_and_utilities_sewage_and_waste_management,Special Inflow,1
