file,status,transaction_count,date_min,date_max,revenue_total,non_revenue_credit_total,uncategorised_count,failed_payment_count,loan_credit_count,debt_repayment_count,exception_count
JsonExport/Befirst Constructions Ltd - Transaction Report_categorized.json,ok,717,2023-09-15,2024-07-25,94090.64,0.0,0.0,0.0,0.0,54.0,0.0
JsonExport/Beforethefall - GetReportByID.json,ok,2179,2023-07-10,2024-07-08,12866.61,87195.4,0.0,1.0,0.0,30.0,23.0
"JsonExport/Beforethefall_0,0.json",ok,2179,2023-07-10,2024-07-08,12866.61,87195.4,0.0,1.0,0.0,30.0,23.0
JsonExport/Beforethefall_categorized.json,ok,2179,2023-07-10,2024-07-08,11556.32,0.0,0.0,1.0,0.0,81.0,0.0
JsonExport/Besachkarma Limited.json,ok,1811,2023-08-05,2024-08-04,34688.0,106599.03,0.0,0.0,0.0,34.0,733.0
"JsonExport/Besachkarma Limited_0,0.json",ok,1811,2023-08-05,2024-08-04,34688.0,106599.03,0.0,0.0,0.0,34.0,733.0
JsonExport/Besachkarma Limited_categorized.json,ok,1811,2023-08-05,2024-08-04,34688.0,0.0,0.0,0.0,0.0,34.0,1.0
JsonExport/Beyond Social Media (UK) Ltd.json,ok,928,2023-10-03,2024-10-03,241.06,83910.48,0.0,0.0,0.0,29.0,331.0
JsonExport/Big bro bao ltd.json,ok,3369,2024-04-01,2025-04-01,177575.74,172704.11,0.0,52.0,9.0,105.0,115.0
JsonExport/Bistro bites ltd.json,ok,413,2025-09-25,2026-03-19,0.0,32332.86,0.0,0.0,0.0,1.0,102.0
JsonExport/BK Maintenance Services Limited - GetReportByID (1)(1).json,ok,100,2023-12-25,2024-02-05,253.96,6847.77,0.0,0.0,2.0,18.0,4.0
JsonExport/BLACKFEN FOOD LTD.json,ok,1154,2025-04-03,2025-08-26,106607.46,27569.87,0.0,25.0,42.0,28.0,17.0
JsonExport/Blisshealth Concepts Limited.json,ok,314,2023-09-12,2024-09-11,3607.69,51382.33,0.0,0.0,0.0,38.0,21.0
"JsonExport/Blisshealth Concepts Limited_0,0.json",ok,314,2023-09-12,2024-09-11,3607.69,51382.33,0.0,0.0,0.0,38.0,21.0
JsonExport/Blossom Ladies Boutiques ltd - GetReportByID.json,ok,100,2023-12-11,2024-01-29,10402.97,1695.89,0.0,2.0,1.0,14.0,1.0
JsonExport/BLOSSOM SALON LTD.json,ok,584,2024-11-26,2025-11-25,45119.32,10210.15,0.0,0.0,1.0,7.0,22.0
JsonExport/Boiler solution cover uk - GetReportByID.json,ok,1640,2024-07-10,2025-05-02,24821.99,167051.56,0.0,0.0,0.0,113.0,73.0
JsonExport/Boiler solution cover uk - GetReportByID1.json,ok,1654,2024-07-10,2025-05-06,25923.99,169101.38,0.0,0.0,0.0,115.0,73.0
JsonExport/Boiler Solutions Cover uk LTD - GetReportByID.json,ok,1380,2024-07-10,2025-03-17,20182.52,141007.22,0.0,0.0,0.0,86.0,63.0
JsonExport/Boiler Solutions Cover UK.json,ok,2025,2024-07-22,2025-07-21,26351.95,196140.2,0.0,18.0,1.0,231.0,77.0
JsonExport/Bottom Line Consultants Ltd.json,ok,403,2023-09-12,2024-09-12,105418.75,78824.0,0.0,0.0,5.0,10.0,19.0
"JsonExport/Bottom Line Consultants Ltd_0,0.json",ok,403,2023-09-12,2024-09-12,105418.75,78824.0,0.0,0.0,5.0,10.0,19.0
JsonExport/Bound Studios Ltd - GetReportByID (1)(1).json,ok,1786,2024-06-03,2025-05-26,10985.12,157283.19,0.0,0.0,5.0,89.0,208.0
JsonExport/Bound Studios Ltd App 2.json,ok,1742,2024-03-27,2025-03-27,11070.53,172289.15,0.0,0.0,3.0,56.0,203.0
JsonExport/Bound Studios Ltd App 2020425.json,ok,1742,2024-04-03,2025-04-02,11070.53,158790.58,0.0,0.0,3.0,58.0,199.0
JsonExport/Bound Studios Ltd OB 2.json,ok,1743,2024-03-06,2025-03-06,10355.1,183259.63,0.0,0.0,4.0,53.0,201.0
JsonExport/Bound Studios Ltd.json,ok,1738,2024-03-05,2025-03-04,10433.25,182845.59,0.0,0.0,4.0,53.0,202.0
JsonExport/Bramble and Willow Ltd.json,ok,743,2023-09-25,2024-09-11,34084.64,138757.52,0.0,0.0,0.0,11.0,187.0
"JsonExport/Bramble and Willow Ltd_0,0.json",ok,743,2023-09-25,2024-09-11,34084.64,138757.52,0.0,0.0,0.0,11.0,187.0
JsonExport/Brandin Agency - GetReportByID.json,ok,100,2024-04-01,2024-04-17,1917.78,1460.13,0.0,0.0,2.0,5.0,5.0
JsonExport/Brazilian cleaning essential Ltd app 2.json,ok,1530,2024-11-28,2025-11-19,230006.28,535151.39,134.0,2.0,2.0,49.0,215.0
JsonExport/Brazilian cleaning essential ltd.json,ok,909,2024-11-14,2025-08-18,168753.38,168684.0,0.0,2.0,0.0,28.0,87.0
JsonExport/Brookhouse Hypnotherapy Ltd.json,ok,1398,2024-04-02,2024-09-24,2100.98,77037.6,0.0,0.0,0.0,24.0,101.0
JsonExport/Brunch Munch Poole ltd - GetReportByID.json,ok,100,2024-01-29,2024-02-04,290.0,1079.09,0.0,0.0,0.0,1.0,9.0
