original_filename,clean_company_name,proposed_filename,collision_group_size,collision_status,would_rename,file_size,last_modified
"Besachkarma Limited_0,0.json",Besachkarma Limited,Besachkarma Limited.json,1,unique,True,3647135,1771591366.039812
Beyond Social Media (UK) Ltd.json,Beyond Social Media (UK) Ltd,Beyond Social Media (UK) Ltd.json,1,unique,False,1249168,1771591290.1469483
Big bro bao ltd.json,Big Bro Bao Ltd,Big Bro Bao Ltd.json,1,unique,True,4733809,1743498859.0
Bistro bites ltd.json,Bistro Bites Ltd,Bistro Bites Ltd.json,1,unique,True,526497,1774521327.0
BK Maintenance Services Limited - GetReportByID (1)(1).json,BK Maintenance Services Limited,BK Maintenance Services Limited.json,1,unique,True,195445,1752750048.0
BLACKFEN FOOD LTD.json,BLACKFEN FOOD Ltd,BLACKFEN FOOD Ltd.json,1,unique,True,1551031,1771591289.063717
"Blisshealth Concepts Limited_0,0.json",Blisshealth Concepts Limited,Blisshealth Concepts Limited.json,1,unique,True,654672,1771591368.006218
Blossom Ladies Boutiques ltd - GetReportByID.json,Blossom Ladies Boutiques Ltd,Blossom Ladies Boutiques Ltd.json,1,unique,True,176796,1719560331.0
BLOSSOM SALON LTD.json,BLOSSOM SALON Ltd,BLOSSOM SALON Ltd.json,1,unique,True,763435,1771591289.130842
Boiler Solutions Cover UK.json,Boiler Solutions Cover UK,Boiler Solutions Cover UK.json,1,unique,False,2532016,1771591368.2710745
"Bottom Line Consultants Ltd_0,0.json",Bottom Line Consultants Ltd,Bottom Line Consultants Ltd.json,1,unique,True,743324,1771591368.5553591
Bound Studios Ltd App 2.json,Bound Studios Ltd,Bound Studios Ltd - 01.json,2,collision_numbered,True,2301338,1743586482.0
Bound Studios Ltd.json,Bound Studios Ltd,Bound Studios Ltd - 02.json,2,collision_numbered,True,2298479,1741268768.0
"Bramble and Willow Ltd_0,0.json",Bramble And Willow Ltd,Bramble And Willow Ltd.json,1,unique,True,1487161,1771591368.9385753
Brandin Agency - GetReportByID.json,Brandin Agency,Brandin Agency.json,1,unique,True,187155,1719560589.0
Brazilian cleaning essential Ltd app 2.json,Brazilian Cleaning Essential Ltd,Brazilian Cleaning Essential Ltd - 01.json,2,collision_numbered,True,1955487,1763541563.0
Brazilian cleaning essential ltd.json,Brazilian Cleaning Essential Ltd,Brazilian Cleaning Essential Ltd - 02.json,2,collision_numbered,True,1209722,1771591290.163568
Brookhouse Hypnotherapy Ltd.json,Brookhouse Hypnotherapy Ltd,Brookhouse Hypnotherapy Ltd.json,1,unique,False,1772617,1771591290.1801705
Brunch Munch Poole ltd - GetReportByID.json,Brunch Munch Poole Ltd,Brunch Munch Poole Ltd.json,1,unique,True,178709,1719560702.0
BTWBTW Ltd.json,BTWBTW Ltd,BTWBTW Ltd - 01.json,2,collision_numbered,True,674804,1719566380.0
"BTWBTW Ltd_0,0.json",BTWBTW Ltd,BTWBTW Ltd - 02.json,2,collision_numbered,True,1088845,1771591359.7587056
Bubble Waffle Limited - GetReportByID (1)(1).json,Bubble Waffle Limited,Bubble Waffle Limited.json,1,unique,True,192411,1752750049.0
Bubblegum brats limited - GetReportByID.json,Bubblegum Brats Limited,Bubblegum Brats Limited.json,1,unique,True,255660,1747903767.0
BUHARY CONSTRUCTIONS LTD - GetReportByID.json,BUHARY CONSTRUCTIONS Ltd,BUHARY CONSTRUCTIONS Ltd.json,1,unique,True,406754,1744882844.0
Bulgarian Food Pirin Ltd.json,Bulgarian Food Pirin Ltd,Bulgarian Food Pirin Ltd.json,1,unique,False,958147,1771591290.1801705
Bunker Publishing.json,Bunker Publishing,Bunker Publishing - 01.json,3,collision_numbered,True,2347035,1719251400.0
"Bunker Publishing_0,0.json",Bunker Publishing,Bunker Publishing - 02.json,3,collision_numbered,True,3683679,1771591369.355115
